rank,Youtuber,category,Country,created_year,created_month,created_date
390,Marta and Rustam,Comedy,United States,2021.0,Jun,21.0
391,MiawAug,Gaming,Indonesia,2014.0,Mar,15.0
392,CookieSwirlC,Entertainment,United States,2013.0,Nov,3.0
393,Skrillex,Music,United States,2010.0,Apr,6.0
394,AuthenticGames,Gaming,Brazil,2011.0,Oct,7.0
395,Robin Hood Gamer,Entertainment,,2013.0,Mar,16.0
396,Pencilmation,Film & Animation,United States,2007.0,Feb,1.0
397,7clouds,Music,United States,2013.0,May,25.0
398,5-Minute Crafts PLAY,Howto & Style,United States,2017.0,Oct,30.0
399,Marvel Entertainment,Entertainment,United States,2011.0,May,10.0
400,BuzzFeedVideo,People & Blogs,United States,2011.0,Aug,10.0
401,REACT,Entertainment,United States,2007.0,Jun,4.0
402,Vevo,Music,United States,2006.0,Apr,14.0
403,Gordon Ramsay,Entertainment,United Kingdom,2006.0,Apr,29.0
404,Pentatonix,Music,Canada,2006.0,Mar,9.0
405,Green Gold TV - Official Channel,Film & Animation,India,2011.0,Jul,1.0
406,Gusttavo Lima Oficial,Music,Brazil,2010.0,Nov,9.0
407,HaerteTest,Science & Technology,Germany,2011.0,Sep,6.0
408,Crafty Panda,People & Blogs,United States,2017.0,Dec,3.0
409,SOMOY TV,News & Politics,United States,2013.0,Nov,16.0
410,JennaMarbles,Comedy,United States,2010.0,Feb,16.0
411,Troom Troom Es,People & Blogs,,2016.0,Feb,5.0
412,Official Pink Panther,Film & Animation,United States,2011.0,Oct,6.0
413,Britain's Got Talent,Entertainment,United Kingdom,2008.0,Apr,12.0
414,SCTV,Entertainment,United Kingdom,2006.0,Mar,25.0
415,AS Gaming,Gaming,United States,2009.0,Mar,5.0
416,Sony AATH,Shows,United States,2013.0,Nov,13.0
417,tabii Urdu,Entertainment,Turkey,2020.0,Apr,17.0
418,DaFuq!?Boom!,Film & Animation,United States,2016.0,Jun,6.0
419,Clash of Clans,Gaming,United States,2013.0,Jan,31.0
420,RKD Studios,Entertainment,India,2014.0,Mar,14.0
