rank,Youtuber,category,Country,created_year,created_month,created_date,channel_id
190,Goldmines Dishoom,Film & Animation,,2016.0,Nov,26.0,UCu7Hg0f3rxqZ6qs-188ZbjQ
191,Sandeep Maheshwari,People & Blogs,Singapore,2008.0,Jan,2.0,UCBqFKDipsnzvJdt6UT0lMIg
192,Bounce Patrol - Kids Songs,Music,Australia,2013.0,Jan,1.0,UC56cowXhoqRWHeqfSJkIQaA
193,toycantando,Music,Colombia,2009.0,Jul,7.0,UC2xjgvWb9cx5F637XjsUNxw
194,MrBeast 2,People & Blogs,United States,2011.0,Jun,23.0,UC4-79UOlP48-QNGgCko5p2g
195,Wiz Khalifa,Music,United States,2008.0,May,9.0,UCVp3nfGRxmMadNDuVbJSk8A
196,JYP Entertainment,Music,South Korea,2008.0,Jan,25.0,UCaO6TYtlC8U5ttz62hTrZgg
197,ýýý Kids Roma Show,People & Blogs,United States,2015.0,May,12.0,UCk8GzjMOrta8yxDcKfylJYw
198,DanTDM,Gaming,United Kingdom,2012.0,Jul,14.0,UCS5Oz6CHmeoF7vSad0qqXfw
199,Nick Jr.,Film & Animation,United States,2012.0,Sep,27.0,UCUe6ZpY6TJ0no8jI4l2iLxw
200,Crazy XYZ,Entertainment,India,2017.0,Sep,10.0,UCebC4x5l2-PQxg46Ucv9CsA
201,ToyPuddingTV,Entertainment,,2017.0,Jun,7.0,UCKqx9r4mrFglauNBJc1L_eg
202,Dushyant kukreja,Entertainment,India,2015.0,Sep,26.0,UCo6y9hnRawAqtyWhRhblXqg
203,Gulshan Kalra,Howto & Style,,2018.0,Apr,9.0,UC56dNUTok1pgvpY75CsJQ4Q
204,Brent Rivera,Comedy,United States,2009.0,Aug,1.0,UC56D-IHcUvLVFTX_8NpQMXg
205,Renato Garcia YT,Entertainment,Brazil,2011.0,Sep,29.0,UChMJkHCD2wdvSO7CMOuLR-w
206,Beast Reacts,People & Blogs,United States,2016.0,Apr,24.0,UCUaT_39o1x6qWjz7K2pWcgw
207,enchufetv,Comedy,Colombia,2011.0,Nov,13.0,UCoGDh1Xa3kUCpok24JN5DKA
208,Netflix,Entertainment,United States,2012.0,Jul,17.0,UCWOA1ZGywLbqmigxE4Qlvuw
209,Raffy Tulfo in Action,News & Politics,Philippines,2016.0,Apr,20.0,UCxhygwqQ1ZMoBGQM2yEcNug
